id,text,is_humor_all,funniness_all,funniness_female,funniness_male,funniness_18_25,funniness_26_40,funniness_41_55,funniness_56_70,is_off_all,offense_all,is_off_female,offense_female,is_off_male,offense_male,is_off_18_25,offense_18_25,is_off_26_40,offense_26_40,is_off_41_55,offense_41_55,is_off_56_70,offense_56_70
1,"It's been confirmed by People Magazine that Bruce Jenner is transitioning into a woman I say good on him, at least he's got the balls to do it.",1,2.188,2.188,2.619,2.455,2.364,2.778,2,1,3.077,1,3.417,1,2.786,1,3.5,1,2.667,1,2.714,0,
2,How does a Jew make his tea? Hebrews it!,1,2.8,2.8,2.842,2.636,2.818,3.143,2.8,0,,0,,0,,0,,0,,1,3,0,
3,"From online museum resources on Asian art to East Asia in geographic perspective, Asia for Educators provides a rich content for educators",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
4,"Ignorance is bliss but i'd rather be stressed, restless, and shaking in anger than blind and apathetic.",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
5,Muslim minority doctors first to die on front line of UK pandemic- Families & patients remember 4 doctors who contracted coronavirus ,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
6,5 Years ago today I asked a beautiful girl out on a date. Today at 3pm I asked that same girl to marry me. Both times she said no,1,2.917,2.917,1.941,2.111,2.273,2.667,,0,,0,,0,,0,,0,,0,,0,
7,"Sometimes I run alongside trains, tearfully waving, just so people will think I have a girlfriend.",1,2.938,2.938,2.611,2.818,2.8,2.5,3,0,,0,,0,,0,,0,,0,,0,
8,What is the Terminators Muslim name? Al Bi Baq,1,2.235,2.235,2.05,2.1,2.182,2.5,1.5,1,3.318,1,3.5,1,3.167,1,3.571,1,2.5,0,,0,
9,What do you call an overweight homosexual? Jigglypuff.,1,1.375,1.375,1.824,1.6,1.636,1.714,1.4,1,3.4,1,3.714,1,3.125,1,3.2,1,3.111,1,3.333,1,4.4
10,"Woman: ""Can you please call me a taxi?"" Man: ""You're a taxi""",1,2.333,2.333,2.222,1.778,2.111,2.333,3.167,0,,0,,0,,0,,0,,0,,0,
11,What did the two tampons have in common? They were both stuck up bitches,1,1.941,1.941,2.579,2.727,2.818,1.444,1.6,1,3.786,1,3.933,1,3.615,1,3.75,1,3.286,1,3.889,1,4.5
12,"Every religion has violent people... ... The Christians have The Westboro Baptist Church, the Muslims have the jihadists, and the Jews have the IRS",1,1.688,1.688,2.3,2.091,1.909,2.375,1.667,1,3.567,1,3.867,1,3.267,1,3.556,1,3.444,1,3.5,1,4
13,The church apparently thinks that gay and lesbian people laying with one another is unnatural. As opposed to walking on water.,1,2.643,2.643,2.692,2.875,3,2.125,2.75,0,,1,2.556,0,,0,,0,,1,3.429,0,
14,Apparently I have a black person in my family tree... If you look in my backyard he's still hanging there!,1,1.067,1.067,1.316,1.273,1.364,1,1,1,4.889,1,4.875,1,4.9,1,4.909,1,4.909,1,4.75,1,5
15,Mattel released a Muslim Barbie... It's a blow-up doll.,1,1.647,1.647,1.85,1.727,2,1.7,1.5,1,4.216,1,4.294,1,4.15,1,4.091,1,4.091,1,4.2,1,4.8
16,"I was walking through town yesterday, when I came across a large black man with a mohawk and jewellery. He said, ""I piy the fool."" I said, ""Hey, you missed a T.""",1,2.5,2.5,2.579,2.2,2.545,2.714,3,0,,0,,0,,0,,0,,0,,0,
17,"Making a documentary about homosexuality in America, if anyone that identities as homosexual would like to be in it please HMU.",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
18,Why should you never play Uno with a Mexican? Because they'll steal all the green cards.,1,1.765,1.765,2.095,1.909,2.273,2.2,1,1,3.686,1,3.875,1,3.526,1,3.9,1,3.545,1,3.444,1,4
19,What do you call a gay cowboy? A jolly rancher.,1,2.438,2.438,2.35,2.545,2.455,2.444,1.8,0,,0,,1,2.727,1,2.625,0,,0,,1,4.333
20,"Due to COVID-19, Jewish Family Service has cancelled their upcoming Heart & Soul Gala. ",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
21,"On his first day, my gay friend lost his job at the sperm bank. He was caught drinking on the job.",1,1.875,1.875,2.263,2.545,2.3,1.875,1.167,1,3.645,1,3.8,1,3.5,1,2.8,1,3.714,1,3.875,1,4.667
22,Stumbled across Samanos Taqueria Mexican Food truck on my route. There was no way I was passing up this blessing. Such good food oh my word.,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
23,I was walking down the street when I saw black guy with a laptop. Is that mine? I thought. It looks exactly like mine... but that can't be... Mine should be at home cleaning my shoes.,1,1.133,1.133,1.529,1.364,1.5,1.333,1,1,4.636,1,4.733,1,4.556,1,4.364,1,4.8,1,4.571,1,5
24,"Ola has done so much for Black women, girls, and Black women’s literature.",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
25,Q: How did a blind woman pierce her ear? A: Answering the stapler.,1,2.059,2.059,1.85,2.273,1.909,1.889,1.5,1,2.95,1,3.091,0,,1,2.667,1,2.667,1,3,0,
26,"Back in my day, we didn't have computers or the internet. Guys would have to walk uphill for days to tell me I'm gay.",1,2.733,2.733,2.632,3.222,3,2.111,2,0,,0,,0,,0,,0,,0,,0,
27,"I was getting a handjob from this blind hooker... She told me: WOW! This is the biggest dick I have ever felt! I said ""No way! You're pulling my leg!""",1,2.353,2.353,2.737,2.7,2.909,2.3,2,1,3.238,1,3.5,0,,0,,0,,1,3.667,1,3.667
28,Have more faith girlfriend. You are the most positive people with such great influence to others don’t be a Debbie downer now.,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
29,PSA: If you've got an Islamic dog... Muslim,1,1.429,1.429,1.412,1.3,1.455,1.714,1,0,,1,3.889,0,,1,3.833,0,,1,4,0,
30,Do you know how to make a Venetian Blind? Poke them in the eye,1,2.467,2.467,1.75,2,1.455,2.25,3,0,,0,,0,,0,,0,,0,,0,
31,"Ashley Lawrence, a college senior from Versailles put her stir-craziness to good use designing face masks for the deaf and hard of hearing. ",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
